slot_time_et,mean_marginal_co2_lbs_per_mwh_Winter,mean_marginal_co2_lbs_per_mwh_Spring,mean_marginal_co2_lbs_per_mwh_Summer,mean_marginal_co2_lbs_per_mwh_Fall,,Hour,Winter,Spring,Summer,Fall
0:00,1053.254103,960.38232,1440.654006,1121.500851,,0:00,1090.032384,997.3015041,1260.011097,1094.803444
0:05,1105.727729,1014.445632,1149.137269,1108.339437,,1:00,1073.698586,1030.219389,1328.10415,1092.59248
0:10,1119.729564,1086.286355,1289.452823,1112.3497,,2:00,1103.899286,1018.366115,1320.347404,1102.803227
0:15,1080.512211,988.307712,1221.668537,1070.821518,,3:00,1100.555609,1051.864776,1343.639616,1084.114749
0:20,1062.975654,921.260823,1265.403916,1087.280458,,4:00,1114.928264,1075.923099,1332.496875,1098.754035
0:25,1031.449261,1006.545482,1243.861448,1034.443299,,5:00,1107.924512,1009.114611,1319.917736,1043.560842
0:30,995.824091,956.403013,1273.519681,1045.298204,,6:00,1071.791258,985.7347649,1306.997769,955.677397
0:35,1064.524553,983.927997,1230.415404,1178.240578,,7:00,1058.692673,985.1076838,1260.931694,973.4154936
0:40,1101.032025,1041.093362,1306.416973,1135.108986,,8:00,1039.759356,960.1167706,1206.838165,973.8769857
0:45,1135.052611,1027.642209,1176.566163,1065.912428,,9:00,1094.458467,989.2562521,1118.932283,961.1421433
0:50,1151.854204,986.854811,1263.744637,1072.434143,,10:00,1062.635329,951.9011357,1061.915179,947.1329847
0:55,1178.4526,994.468333,1259.292307,1105.911727,,11:00,1122.55036,977.591761,1025.558418,956.4600943
1:00,1058.622197,927.316063,1336.151702,1067.877824,,12:00,1106.081644,941.0111333,975.162177,906.7175079
1:05,1019.874912,1083.257236,1236.645351,1038.658731,,13:00,1092.463115,954.8534532,924.187532,872.9833038
1:10,1028.507409,1003.137621,1297.079529,1136.875691,,14:00,1060.766788,898.0472275,925.6756144,847.660321
1:15,1093.234552,1026.249552,1383.536954,1128.192032,,15:00,1065.398163,916.1573303,900.9730657,840.7918015
1:20,1131.292294,1023.156123,1360.120645,1057.458297,,16:00,1018.205639,888.0401398,905.7170187,787.5724678
1:25,1128.994572,942.301979,1331.719195,1095.429105,,17:00,993.5752916,910.1563078,879.804671,808.2004278
1:30,1049.450465,1081.688796,1216.668342,1141.036244,,18:00,979.7059191,901.2783189,894.6157462,839.3333307
1:35,1033.516662,1046.096571,1376.784657,1008.780711,,19:00,1026.014653,930.1687428,910.6202174,908.3375079
1:40,1042.372978,1063.812754,1288.936466,1098.367757,,20:00,1060.206719,961.334795,984.5214539,961.7725493
1:45,1115.06822,1068.135962,1336.778005,1122.408775,,21:00,1078.475487,1026.345054,1094.041748,972.3010703
1:50,1101.582268,1051.087722,1412.213708,1137.041568,,22:00,1069.97853,1058.546829,1247.740195,1043.36441
1:55,1081.866504,1046.392293,1360.615251,1078.983021,,23:00,1036.913803,1043.699045,1291.882952,1051.34933
2:00,1048.026448,1015.993621,1346.562077,1064.919861,,,,,,
2:05,1047.405177,948.848444,1322.128903,1010.657443,,,,,,
2:10,1070.954908,951.239146,1300.79547,1117.507021,,,,,,
2:15,1179.016776,1024.857497,1328.961818,1131.320343,,,,,,
2:20,1145.799051,1079.668353,1300.358763,1049.833953,,,,,,
2:25,1144.921007,978.984755,1324.243329,1144.107655,,,,,,
2:30,1167.408886,1021.400684,1347.213781,1126.540842,,,,,,
2:35,1078.056997,1025.012461,1235.25018,1089.35995,,,,,,
2:40,1096.721166,947.940555,1412.329844,1128.965213,,,,,,
2:45,1089.08867,1040.137577,1227.676618,1112.917086,,,,,,
2:50,1063.944796,1126.954251,1321.405985,1073.214856,,,,,,
2:55,1115.447549,1059.356037,1377.242081,1184.294503,,,,,,
3:00,1043.527288,1080.24816,1278.958354,1157.438012,,,,,,
3:05,1140.704503,997.768843,1338.611342,1041.105249,,,,,,
3:10,1180.767257,1094.588752,1288.30103,1018.714898,,,,,,
3:15,1096.372977,1120.052173,1235.03392,1134.271725,,,,,,
3:20,1054.073929,1038.020561,1411.327278,1056.45915,,,,,,
3:25,989.371707,1070.70669,1409.771006,985.1076,,,,,,
3:30,1192.307518,1016.887365,1362.19694,1061.882593,,,,,,
3:35,1102.979269,1097.544601,1357.312829,1081.920437,,,,,,
3:40,1131.140662,966.619342,1449.845634,1108.251499,,,,,,
3:45,1113.539758,1110.657459,1247.101552,1132.344588,,,,,,
3:50,1076.293243,983.032587,1429.35269,1101.213744,,,,,,
3:55,1085.589193,1046.250775,1315.862812,1130.66749,,,,,,
4:00,1140.189496,1034.139925,1434.528406,1072.716432,,,,,,
4:05,1114.726672,1053.171735,1244.17285,1051.474116,,,,,,
4:10,1153.248533,1025.015184,1302.059552,1025.720939,,,,,,
4:15,1114.575375,1106.747331,1304.825207,1183.652701,,,,,,
4:20,1125.632774,1032.266352,1382.246793,1041.104353,,,,,,
4:25,1163.750539,1179.67134,1394.694088,1206.598633,,,,,,
4:30,1086.266516,1119.991788,1319.980914,1148.494581,,,,,,
4:35,1184.45397,1031.352611,1340.655304,1087.111737,,,,,,
4:40,1135.488488,1061.380151,1337.255232,1017.254176,,,,,,
4:45,1006.988064,1139.725487,1334.495449,1072.47938,,,,,,
4:50,1071.541282,1083.893008,1318.557293,1113.987767,,,,,,
4:55,1082.27746,1043.72227,1276.491409,1164.453606,,,,,,
5:00,1162.769491,1075.547459,1281.923411,1061.770681,,,,,,
5:05,1062.481749,970.821201,1308.98602,1110.724056,,,,,,
5:10,1140.977042,1054.419692,1370.217286,1151.804167,,,,,,
5:15,1140.249649,966.559285,1262.585213,1126.782996,,,,,,
5:20,1090.813906,981.99033,1281.309661,1064.599222,,,,,,
5:25,1017.726827,1011.959906,1399.898984,998.984903,,,,,,
5:30,1089.316026,916.885326,1340.596581,926.431921,,,,,,
5:35,1122.903814,1003.417134,1325.211475,1037.468833,,,,,,
5:40,1059.853113,905.896663,1304.591221,1003.620857,,,,,,
5:45,1062.387535,1080.16948,1396.501578,1027.173764,,,,,,
5:50,1246.647434,994.97761,1212.967459,1038.204349,,,,,,
5:55,1098.967562,1146.731249,1354.223937,975.164356,,,,,,
6:00,1126.596866,955.056322,1371.007568,991.624751,,,,,,
6:05,1134.566076,1005.73281,1282.212639,1029.731626,,,,,,
6:10,1141.060543,1007.826939,1404.974495,1043.698286,,,,,,
6:15,1091.363248,955.145529,1231.655989,992.795689,,,,,,
6:20,1044.798651,991.838272,1284.50756,961.176996,,,,,,
6:25,1138.508679,982.011888,1279.02415,892.347421,,,,,,
6:30,1085.681069,1046.921802,1286.588444,927.813016,,,,,,
6:35,1052.499836,943.387113,1358.717032,964.48318,,,,,,
6:40,1021.684755,972.826652,1320.461922,916.627573,,,,,,
6:45,1039.972991,1000.511688,1322.045428,902.83835,,,,,,
6:50,963.657293,924.723928,1256.327532,887.159302,,,,,,
6:55,1021.10509,1042.834236,1286.450463,957.832574,,,,,,
7:00,1104.203987,983.149083,1307.865206,1022.463684,,,,,,
7:05,1104.67411,877.652307,1229.478361,906.941005,,,,,,
7:10,1022.861602,994.560795,1269.960196,972.681168,,,,,,
7:15,935.931802,979.324558,1389.634505,971.391497,,,,,,
7:20,1015.703707,947.290434,1242.304781,965.70927,,,,,,
7:25,1135.05619,974.363997,1263.367377,925.431125,,,,,,
7:30,1002.782877,963.646965,1212.439585,895.203896,,,,,,
7:35,1096.721593,987.160654,1264.654181,968.13454,,,,,,
7:40,979.669104,1062.386409,1208.316515,1045.309816,,,,,,
7:45,1082.34565,1090.430207,1271.766875,1056.524733,,,,,,
7:50,1123.410354,945.511311,1234.56905,998.606125,,,,,,
7:55,1100.951099,1015.815485,1236.823694,952.589064,,,,,,
8:00,1002.074146,935.796852,1353.797575,1008.773475,,,,,,
8:05,1004.789205,947.12589,1254.854353,894.498545,,,,,,
8:10,1000.204352,949.852606,1287.125524,983.521144,,,,,,
8:15,961.951546,854.607386,1410.833721,980.520499,,,,,,
8:20,1060.383073,933.835025,1132.621431,972.96726,,,,,,
8:25,1037.232776,992.179789,1200.824635,1039.130693,,,,,,
8:30,1019.649168,1043.022158,1168.551701,896.117382,,,,,,
8:35,1025.289204,1048.108507,1016.327976,1065.99557,,,,,,
8:40,1111.212057,1018.216223,1146.22579,955.318471,,,,,,
8:45,1062.236988,972.39589,1143.915989,999.584978,,,,,,
8:50,1080.831792,944.148411,1196.844063,923.772636,,,,,,
8:55,1111.257965,882.11251,1170.135217,966.323175,,,,,,
9:00,1041.586694,985.653946,1187.121135,970.797874,,,,,,
9:05,1024.965828,981.963526,1182.441335,971.206629,,,,,,
9:10,1091.88737,1018.870308,1224.363364,992.987245,,,,,,
9:15,1138.176888,958.091813,1158.57259,932.661479,,,,,,
9:20,1035.658337,979.394142,1079.856177,976.545153,,,,,,
9:25,1020.068101,991.139923,1084.965232,958.325345,,,,,,
9:30,1094.990325,972.195489,1120.627656,950.594618,,,,,,
9:35,1212.070851,1003.82057,1053.274559,1073.370497,,,,,,
9:40,1132.587357,1017.166024,1088.163069,992.016555,,,,,,
9:45,1122.384898,1062.69244,1127.582411,940.125616,,,,,,
9:50,1091.987266,952.695453,1025.853944,891.987477,,,,,,
9:55,1127.137685,947.391391,1094.365927,883.087232,,,,,,
10:00,1085.538282,971.132376,1133.775622,944.102475,,,,,,
10:05,1037.010473,962.460386,1054.397296,874.279642,,,,,,
10:10,1021.433755,929.211677,1118.318207,943.288545,,,,,,
10:15,1081.342546,913.333211,1053.553237,910.590971,,,,,,
10:20,999.114611,908.608102,1039.509568,996.650887,,,,,,
10:25,1060.7788,940.988871,1038.143955,932.701653,,,,,,
10:30,1008.6211,906.353319,1066.058005,994.078091,,,,,,
10:35,1155.993135,967.720059,1046.431904,952.160193,,,,,,
10:40,1057.377705,972.181284,1103.702567,975.167402,,,,,,
10:45,1150.38062,1033.86893,1079.752029,925.246373,,,,,,
10:50,1044.998506,961.911309,1045.335476,972.393025,,,,,,
10:55,1049.034419,955.044104,964.004282,944.936559,,,,,,
11:00,1081.098593,967.873196,1025.752932,951.595517,,,,,,
11:05,1044.165938,958.811418,1115.443631,896.533051,,,,,,
11:10,1117.882411,984.474004,1038.284961,978.201991,,,,,,
11:15,1146.90733,899.423271,1022.387372,966.994248,,,,,,
11:20,1136.661692,1006.158143,1056.857378,926.606877,,,,,,
11:25,1171.425312,987.138101,1007.001505,1062.619879,,,,,,
11:30,1055.289336,976.075053,1058.061463,1010.57738,,,,,,
11:35,1126.662256,927.17071,941.947805,990.114347,,,,,,
11:40,1224.624238,1055.637468,1015.271812,893.315042,,,,,,
11:45,1175.770055,933.113279,1068.45411,896.568236,,,,,,
11:50,1066.846005,983.217613,985.067366,931.156472,,,,,,
11:55,1123.271149,1052.008876,972.170682,973.238092,,,,,,
12:00,1150.427986,974.65408,1041.945086,889.044229,,,,,,
12:05,1093.655674,930.522462,1044.492464,959.686833,,,,,,
12:10,1154.167255,951.876381,998.380801,982.146799,,,,,,
12:15,1252.28627,802.928881,1006.444798,926.65576,,,,,,
12:20,1059.735372,965.591122,949.025353,918.12137,,,,,,
12:25,1175.170878,968.675931,1004.405729,902.647608,,,,,,
12:30,1000.546541,947.06229,973.532541,933.130456,,,,,,
12:35,1062.502123,945.732928,954.883775,873.596604,,,,,,
12:40,1126.90965,979.577687,949.287902,840.934487,,,,,,
12:45,1081.567401,909.301277,921.647571,877.869051,,,,,,
12:50,1054.699007,969.394566,829.819151,900.233111,,,,,,
12:55,1061.311565,946.815995,1028.080953,876.543787,,,,,,
13:00,1051.343101,960.578549,970.921234,869.589952,,,,,,
13:05,1014.83549,955.61336,912.656449,930.565005,,,,,,
13:10,1044.558762,907.884142,936.356576,859.407332,,,,,,
13:15,1171.850235,963.661688,901.262582,866.116626,,,,,,
13:20,1070.53133,931.758219,925.588612,901.838558,,,,,,
13:25,1130.107425,924.785289,903.707411,906.309915,,,,,,
13:30,1157.256136,910.466659,1009.193923,840.341784,,,,,,
13:35,1058.390731,976.395245,928.309851,898.253233,,,,,,
13:40,1120.498031,950.928096,899.910512,801.465333,,,,,,
13:45,1085.752789,986.616876,998.159566,874.685644,,,,,,
13:50,1089.285426,995.228571,837.509625,896.329447,,,,,,
13:55,1115.147927,994.324744,866.674043,830.896817,,,,,,
14:00,1043.159273,910.999409,936.239442,856.395203,,,,,,
14:05,1089.014142,957.713111,1026.372795,892.518045,,,,,,
14:10,1165.469892,805.656818,1059.350013,859.998234,,,,,,
14:15,990.519698,866.024806,975.142864,822.070218,,,,,,
14:20,1091.346545,896.542389,890.19034,855.242484,,,,,,
14:25,1069.323707,927.248677,946.305847,802.476112,,,,,,
14:30,1036.035405,852.01723,898.800945,890.321418,,,,,,
14:35,1077.482853,937.408372,906.851403,849.282396,,,,,,
14:40,982.380562,892.560744,793.892537,855.614065,,,,,,
14:45,1072.972923,924.918417,842.228355,854.116318,,,,,,
14:50,1049.770213,937.179162,909.152078,828.052802,,,,,,
14:55,1061.726245,868.297595,923.580754,805.836557,,,,,,
15:00,1167.177305,921.078002,932.753719,885.390196,,,,,,
15:05,1029.611134,902.970591,891.80097,832.057458,,,,,,
15:10,999.055342,960.970012,916.222907,904.227028,,,,,,
15:15,1027.504114,903.103787,894.229016,838.422403,,,,,,
15:20,1027.928327,866.347171,872.143149,846.187566,,,,,,
15:25,1143.48886,907.626218,922.110052,766.093914,,,,,,
15:30,1115.068766,919.643682,906.856601,778.640365,,,,,,
15:35,1050.992059,881.354309,902.107401,796.397316,,,,,,
15:40,1027.282884,956.5291,924.557233,818.688921,,,,,,
15:45,1061.641631,957.761663,903.069826,888.478089,,,,,,
15:50,1120.063429,865.112565,836.129748,881.475341,,,,,,
15:55,1014.964105,951.390863,909.696166,853.443021,,,,,,
16:00,968.882864,894.090244,959.769325,848.771563,,,,,,
16:05,1004.631412,893.637619,909.816253,872.288986,,,,,,
16:10,976.007691,859.098305,998.735933,827.92821,,,,,,
16:15,1024.973676,905.378755,965.444818,785.947876,,,,,,
16:20,995.47427,912.216471,921.199254,753.090528,,,,,,
16:25,1003.650719,883.814863,865.98141,777.7632,,,,,,
16:30,1083.639832,835.135918,893.217492,792.481366,,,,,,
16:35,1012.725614,828.791293,859.587774,824.207815,,,,,,
